order_id,store_id,store_name,timestamp,nmv,lines
104338647,ST1008,Brigade_Bangalore,2026-04-10 12:15:05,1247.98,3
104341290,ST1008,Brigade_Bangalore,2026-04-10 12:42:18,8243.23,24
104346717,ST1008,Brigade_Bangalore,2026-04-10 13:41:55,198.0,4
104347785,ST1008,Brigade_Bangalore,2026-04-10 13:55:16,199.0,2
104350137,ST1008,Brigade_Bangalore,2026-04-10 14:23:21,225.0,1
104353598,ST1008,Brigade_Bangalore,2026-04-10 15:02:20,814.98,3
104357849,ST1008,Brigade_Bangalore,2026-04-10 15:46:39,599.0,1
104358212,ST1008,Brigade_Bangalore,2026-04-10 15:50:44,400.0,2
104359750,ST1008,Brigade_Bangalore,2026-04-10 16:08:03,799.0,1
104362899,ST1008,Brigade_Bangalore,2026-04-10 16:45:32,3076.98,6
104363838,ST1008,Brigade_Bangalore,2026-04-10 16:55:36,2048.9700000000003,8
104368521,ST1008,Brigade_Bangalore,2026-04-10 17:44:44,299.0,1
104369411,ST1008,Brigade_Bangalore,2026-04-10 17:55:02,1495.98,6
104369867,ST1008,Brigade_Bangalore,2026-04-10 18:00:18,149.0,1
104370397,ST1008,Brigade_Bangalore,2026-04-10 18:07:14,693.0,2
104373042,ST1008,Brigade_Bangalore,2026-04-10 18:41:51,2564.1,3
104375288,ST1008,Brigade_Bangalore,2026-04-10 19:02:09,2295.96,6
104377545,ST1008,Brigade_Bangalore,2026-04-10 19:21:55,3467.18,9
104378732,ST1008,Brigade_Bangalore,2026-04-10 19:33:52,1113.0,3
104379480,ST1008,Brigade_Bangalore,2026-04-10 19:41:29,1953.0,5
104380754,ST1008,Brigade_Bangalore,2026-04-10 19:54:02,1354.79,4
104383803,ST1008,Brigade_Bangalore,2026-04-10 20:25:04,897.99,4
104389493,ST1008,Brigade_Bangalore,2026-04-10 21:16:15,269.1,1
104391745,ST1008,Brigade_Bangalore,2026-04-10 21:39:55,427.5,1
